"Y";"";"";"";"";"";"";"";"";"";""
0;-0.975348295126544;1.02627377714863;-1.78970805088484;0.63226350521615;0.696836458157165;-1.46056732057476;-0.0569095725417853;2.01618754406223;-0.236022041815122;0.966914089840916
0;0.863401670506776;1.29326857492288;-0.487213607120694;0.614806885715107;-1.05154574578896;-1.27385140757999;-1.46730503950555;1.38898215135748;1.45775389609964;-0.716668568535774
0;-0.712546508419392;1.20389063471579;0.35359001996698;-0.385416236620739;-0.413319570285888;0.167995290169027;-0.402048035621207;-0.234346721881851;0.293442250590506;0.471139527939903
0;-0.734643331522866;-1.51989391044742;-1.36028381669384;1.44503698110611;0.294349621898559;-0.425951944586604;0.513800178422366;-1.34088757755701;-0.817118670320825;0.486346848998847
0;-0.786172394188845;0.245784768016487;1.67895630756635;-0.395852853104218;1.11671611811426;-1.53711331014837;-0.021770325480301;0.257656915413051;-0.558344147698895;-1.16273297517201
1;0.359313672627607;0.872514541274749;0.765501237846394;-0.574500508461385;0.689627882933199;0.325382549749442;-0.00750623900926378;0.488093713814607;0.584748012225128;-1.37613024707456
0;0.923106745197209;-1.69613314938887;-0.427121185435216;-0.0210330154407747;-0.195849998171686;0.355277751896177;-0.519725434252687;1.84512919686645;0.452360031558034;-1.80490519819001
1;-0.0970010228303697;-0.163754763503486;0.715199107517296;-0.511392315526717;0.426456341862599;0.626617489206406;-0.642299517545471;-0.699983645009347;-0.0498566010029785;1.33969383141489
1;0.0862297023855912;0.321851645293669;1.23010434076164;-0.0213614673570467;-1.02253224389919;1.2003220921921;0.997365439605841;0.983355542718812;0.144093718502282;1.28179872670663
1;-0.667350519763411;-0.350984465382434;1.96444941015876;-0.102655838879854;2.37909246603177;2.19830589170435;1.14358491030142;0.0366167974666597;-0.418476909156005;0.412854991379332
0;2.00814810179096;-0.736479998763658;0.383551978536349;1.61254578422847;2.38696453296949;-0.673833825403996;-1.15178543033206;-0.779742075066944;-0.887391758526174;0.217723225424181
0;-0.700481351541048;-0.610422476665691;1.34569270800183;0.375408888226624;0.763701544464061;-0.552959559432879;-0.795208245804196;-0.336040664210203;-0.912164356814349;0.238568695228103
1;0.904703693170161;0.115266531227982;-0.750474648808441;-0.918935874789329;-1.87789007810315;0.0753817411438266;-0.593446216280836;-0.0476418642419613;1.27265332499689;1.05473028386239
0;1.31703684112498;-0.0762586221405322;-0.132824424969;-0.838967328124106;0.926358730186653;0.43448973044204;1.06058037737888;-1.14413591555367;-1.16820464814821;0.932419262756139
0;-1.71849023047014;-1.09658189457513;0.591214825239683;-2.12477319934517;1.94429831392155;0.725085767251606;0.374190500718658;-0.629189053827608;-0.871364362573815;-1.33471163231755
